sample,fastq_1,fastq_2,strandedness
14094_S88,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14094_S88_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14094_S88_R2_001.fastq.gz,auto
14229_S89,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14229_S89_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14229_S89_R2_001.fastq.gz,auto
14360_S21,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14360_S21_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14360_S21_R2_001.fastq.gz,auto
14369_S19,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14369_S19_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14369_S19_R2_001.fastq.gz,auto
14686_S90,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14686_S90_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14686_S90_R2_001.fastq.gz,auto
14774_S20,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14774_S20_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14774_S20_R2_001.fastq.gz,auto
14840_S91,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14840_S91_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14840_S91_R2_001.fastq.gz,auto
14895_S24,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14895_S24_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/14895_S24_R2_001.fastq.gz,auto
1659_S92,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/1659_S92_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/1659_S92_R2_001.fastq.gz,auto
186_S80,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/186_S80_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/186_S80_R2_001.fastq.gz,auto
